"Level","Name","Records","Average"
"Area","Brantford","2","90"
"Area","Durham","90","116.41"
"Area","Elgin","2","78"
"Area","Frontenac","6","120.83"
"Area","Halton","107","121"
"Area","Hamilton","101","107.02"
"Area","Lanark","4","150"
"Area","Middlesex","45","77.33"
"Area","Niagara","10","27.1"
"Area","Ottawa","152","186.44"
"Area","Oxford","3","53.33"
"Area","Peel","200","131.24"
"Area","Renfrew","2","150"
"Area","Simcoe","21","84.71"
"Area","Toronto","200","202.89"
"Area","Waterloo","43","102.32"
"Area","Wellington","24","71.46"
"Area","York","106","153.16"
