"Municipality","Records","Average","Min","Max"
"Ajax","15","75","75","75"
"Aurora","1","75","75","75"
"Barrie","11","82.73","50","100"
"Belleville","1","50","50","50"
"Brampton","68","130.15","45","200"
"Brantford","2","90","80","100"
"Britannia Heights - Queensway Terrace N and Area","1","100","100","100"
"Burlington","18","81.94","60","100"
"Carleton Place","2","150","150","150"
"Carlington - Central Park","13","146.54","75","225"
"Carlingwood - Westboro and Area","9","219.44","200","225"
"Clarington","2","100","50","150"
"Collingwood","6","84.83","9","100"
"Cyrville - Carson Grove - Pineview","52","196.13","100","200"
"Dows Lake - Civic Hospital and Area","4","222.5","150","250"
"Glebe - Ottawa East and Area","3","166.67","50","250"
"Guelph","24","71.46","50","125"
"Halton Hills","4","132.5","65","155"
"Hamilton","102","120.68","40","1500"
"Innisfil","1","100","100","100"
"Kanata","7","205.71","40","250"
"Kawartha Lakes","1","50","50","50"
"King","1","100","100","100"
"Kingston","6","120.83","75","175"
"Kitchener","32","106.74","50","200"
"London East","23","85","50","125"
"London North","2","110","100","120"
"London South","17","54.71","30","100"
"Lower Town - Sandy Hill","2","160","120","200"
"Manor Park - Cardinal Glen and Area","10","130","50","150"
"Markham","8","109","2","200"
"Milton","2","145","130","160"
"Mississauga","143","132.09","1","250"
"Mooneys Bay - Carleton Heights and Area","1","100","100","100"
"New Tecumseth","1","100","100","100"
"Newmarket","1","170","170","170"
"Niagara Falls","1","50","50","50"
"Oakville","83","128.34","50","200"
"Orillia","2","80","75","85"
"Orleans - Cumberland and Area","5","115","75","125"
"Oshawa","47","135.85","50","250"
"Ottawa Centre","29","207.76","100","250"
"Overbrook - Castleheights and Area","1","235","235","235"
"Pickering","12","109.75","42","200"
"Port Colborne","1","25","25","25"
"Port Hope","1","50","50","50"
"Renfrew","2","150","150","150"
"Richmond Hill","29","98.28","50","200"
"Smiths Falls","2","150","150","150"
"St. Catharines","8","24.5","12","50"
"St. Thomas","2","78","78","78"
"Tillsonburg","2","50","50","50"
"Toronto C01","200","211.94","1","500"
"Toronto C02","200","239.74","49","510"
"Toronto C03","200","195.77","50","450"
"Toronto C04","187","202.51","1","250"
"Toronto C06","19","146.05","75","250"
"Toronto C07","62","160.4","60","1000"
"Toronto C08","200","210.71","15","400"
"Toronto C09","29","191.34","100","220"
"Toronto C10","198","227.05","90","335"
"Toronto C11","68","181.93","60","360"
"Toronto C12","2","125","125","125"
"Toronto C13","65","131.87","40","200"
"Toronto C14","38","170.42","1","350"
"Toronto C15","46","172.28","100","300"
"Toronto E01","25","176.2","75","250"
"Toronto E02","132","155.79","49.99","250"
"Toronto E03","17","137.82","56","220"
"Toronto E04","9","100","50","125"
"Toronto E05","19","142.11","100","200"
"Toronto E06","55","149.91","85","195"
"Toronto E07","2","100","100","100"
"Toronto E08","12","123.83","80","400"
"Toronto E09","19","106.47","40","150"
"Toronto E10","11","97.73","75","100"
"Toronto E11","10","118.8","38","200"
"Toronto W01","38","199.97","100","350"
"Toronto W02","156","153.91","100","200"
"Toronto W03","10","130.5","50","300"
"Toronto W04","45","129.89","75","200"
"Toronto W05","9","128.89","50","165"
"Toronto W06","32","119.94","20","200"
"Toronto W07","18","102.22","75","200"
"Toronto W08","86","145.1","100","200"
"Toronto W09","13","120","120","120"
"Toronto W10","9","105","55","200"
"Tunneys Pasture and Ottawa West","2","225","200","250"
"Uxbridge","3","25","25","25"
"Vanier and Kingsview Park","11","177.27","150","180"
"Vaughan","73","195.66","1","350"
"Waterloo","10","92.4","44","150"
"West Centre Town","1","175","175","175"
"Westboro - Hampton Park","1","200","200","200"
"Whitby","11","125","125","125"
"Whitchurch-Stouffville","1","2850","2850","2850"
"Woodstock","1","60","60","60"
"Woolwich","1","60","60","60"
