"Level","Name","Records","Average"
"Municipality","Ajax","15","75"
"Municipality","Barrie","11","82.73"
"Municipality","Brampton","68","130.15"
"Municipality","Brantford","2","90"
"Municipality","Burlington","18","81.94"
"Municipality","Carleton Place","2","150"
"Municipality","Carlington - Central Park","13","146.54"
"Municipality","Carlingwood - Westboro and Area","9","219.44"
"Municipality","Clarington","2","100"
"Municipality","Collingwood","6","84.83"
"Municipality","Cyrville - Carson Grove - Pineview","52","196.13"
"Municipality","Dows Lake - Civic Hospital and Area","4","222.5"
"Municipality","Glebe - Ottawa East and Area","3","166.67"
"Municipality","Guelph","24","71.46"
"Municipality","Halton Hills","4","132.5"
"Municipality","Hamilton","101","107.02"
"Municipality","Kanata","7","205.71"
"Municipality","Kingston","6","120.83"
"Municipality","Kitchener","32","106.74"
"Municipality","London East","23","85"
"Municipality","London North","2","110"
"Municipality","London South","17","54.71"
"Municipality","Lower Town - Sandy Hill","2","160"
"Municipality","Manor Park - Cardinal Glen and Area","10","130"
"Municipality","Markham","8","109"
"Municipality","Milton","2","145"
"Municipality","Mississauga","143","132.09"
"Municipality","Oakville","83","128.34"
"Municipality","Orillia","2","80"
"Municipality","Orleans - Cumberland and Area","5","115"
"Municipality","Oshawa","47","135.85"
"Municipality","Ottawa Centre","29","207.76"
"Municipality","Pickering","12","109.75"
"Municipality","Renfrew","2","150"
"Municipality","Richmond Hill","29","98.28"
"Municipality","Smiths Falls","2","150"
"Municipality","St. Catharines","8","24.5"
"Municipality","St. Thomas","2","78"
"Municipality","Tillsonburg","2","50"
"Municipality","Toronto C01","200","211.64"
"Municipality","Toronto C02","200","239.74"
"Municipality","Toronto C03","200","195.77"
"Municipality","Toronto C04","187","202.51"
"Municipality","Toronto C06","19","146.05"
"Municipality","Toronto C07","62","160.4"
"Municipality","Toronto C08","200","210.71"
"Municipality","Toronto C09","29","191.34"
"Municipality","Toronto C10","198","227.05"
"Municipality","Toronto C11","68","181.93"
"Municipality","Toronto C12","2","125"
"Municipality","Toronto C13","66","131.39"
"Municipality","Toronto C14","38","170.42"
"Municipality","Toronto C15","46","172.28"
"Municipality","Toronto E01","25","176.2"
"Municipality","Toronto E02","132","155.79"
"Municipality","Toronto E03","17","137.82"
"Municipality","Toronto E04","9","100"
"Municipality","Toronto E05","19","142.11"
"Municipality","Toronto E06","55","149.91"
"Municipality","Toronto E07","2","100"
"Municipality","Toronto E08","12","123.83"
"Municipality","Toronto E09","19","106.47"
"Municipality","Toronto E10","11","97.73"
"Municipality","Toronto E11","10","118.8"
"Municipality","Toronto W01","38","199.97"
"Municipality","Toronto W02","156","153.91"
"Municipality","Toronto W03","10","130.5"
"Municipality","Toronto W04","45","129.89"
"Municipality","Toronto W05","9","128.89"
"Municipality","Toronto W06","32","119.94"
"Municipality","Toronto W07","18","102.22"
"Municipality","Toronto W08","86","145.1"
"Municipality","Toronto W09","13","120"
"Municipality","Toronto W10","9","105"
"Municipality","Tunneys Pasture and Ottawa West","2","225"
"Municipality","Uxbridge","3","25"
"Municipality","Vanier and Kingsview Park","11","177.27"
"Municipality","Vaughan","66","184.37"
"Municipality","Waterloo","10","92.4"
"Municipality","Whitby","11","125"
